iter	Passed	Remaining
407	5871	8519
408	5876	8492
409	5885	8469
410	5892	8443
411	5901	8422
412	5909	8399
413	5918	8378
414	5925	8352
415	5934	8331
416	5940	8305
417	5949	8283
418	5954	8257
419	5961	8232
420	5970	8211
421	5977	8186
422	5986	8166
423	5992	8140
424	6000	8118
425	6006	8093
426	6016	8074
427	6022	8048
428	6030	8027
429	6038	8004
430	6046	7982
431	6054	7959
432	6063	7939
433	6070	7916
434	6079	7895
435	6085	7871
436	6090	7847
437	6098	7824
438	6105	7801
439	6114	7782
440	6120	7758
441	6129	7738
442	6135	7714
443	6144	7694
444	6150	7671
445	6158	7649
446	6164	7626
447	6171	7604
448	6180	7584
449	6185	7560
450	6194	7539
451	6201	7518
452	6210	7498
453	6215	7475
454	6221	7452
455	6230	7432
456	6235	7409
457	6245	7390
458	6251	7368
459	6260	7349
460	6266	7326
461	6274	7306
462	6280	7284
463	6286	7262
464	6295	7242
465	6301	7220
466	6310	7202
467	6316	7180
468	6324	7160
469	6330	7138
470	6337	7118
471	6345	7098
472	6351	7076
473	6359	7057
474	6365	7035
475	6373	7016
476	6379	6994
477	6386	6974
478	6393	6954
479	6399	6932
480	6407	6914
481	6413	6893
482	6423	6875
483	6431	6857
484	6444	6842
485	6455	6827
486	6465	6810
487	6476	6794
488	6481	6773
489	6491	6756
490	6497	6736
491	6506	6717
492	6511	6696
493	6518	6676
494	6524	6656
495	6531	6636
496	6541	6620
497	6547	6600
498	6555	6581
499	6561	6561
500	6568	6541
501	6575	6523
502	6581	6502
503	6589	6485
504	6595	6464
505	6603	6446
506	6609	6426
507	6617	6408
508	6623	6389
509	6629	6369
510	6640	6354
511	6647	6335
512	6657	6319
513	6666	6303
514	6673	6284
515	6680	6266
516	6688	6248
517	6696	6231
518	6704	6213
519	6710	6194
520	6718	6177
521	6724	6157
522	6732	6140
523	6739	6122
524	6745	6103
525	6752	6084
526	6758	6065
527	6768	6050
528	6775	6032
529	6784	6016
530	6790	5997
531	6799	5981
532	6806	5963
533	6816	5948
534	6823	5931
535	6834	5916
536	6841	5898
537	6850	5882
538	6856	5864
539	6867	5850
540	6875	5833
541	6884	5817
542	6890	5799
543	6900	5784
544	6908	5767
545	6918	5752
546	6924	5734
547	6933	5719
548	6941	5702
549	6949	5686
550	6955	5667
551	6963	5651
552	6969	5633
553	6978	5618
554	6984	5600
555	6990	5582
556	6999	5566
557	7005	5549
558	7014	5533
559	7021	5516
560	7031	5502
561	7037	5484
562	7046	5469
563	7052	5452
564	7061	5436
565	7067	5419
566	7073	5402
567	7082	5386
568	7087	5368
569	7096	5353
570	7103	5336
571	7111	5321
572	7117	5304
573	7126	5289
574	7133	5272
575	7140	5256
576	7146	5238
577	7151	5221
578	7159	5205
579	7166	5189
580	7174	5174
581	7180	5157
582	7186	5140
583	7196	5126
584	7219	5121
585	7233	5110
586	7246	5098
587	7259	5086
588	7275	5076
589	7289	5065
590	7299	5051
591	7311	5038
592	7322	5025
593	7334	5013
594	7349	5002
595	7365	4992
596	7375	4978
597	7387	4966
598	7398	4952
599	7415	4943
600	7434	4935
601	7447	4924
602	7460	4911
603	7473	4900
604	7487	4888
605	7501	4877
606	7511	4863
607	7521	4849
608	7536	4838
609	7551	4828
610	7561	4814
611	7578	4804
612	7592	4793
613	7607	4782
614	7625	4773
615	7641	4763
616	7652	4750
617	7663	4736
618	7675	4724
619	7688	4712
620	7703	4701
621	7720	4691
622	7730	4678
623	7741	4664
624	7749	4649
625	7760	4636
626	7778	4627
627	7795	4617
628	7810	4606
629	7826	4596
630	7837	4583
631	7845	4568
632	7856	4554
633	7864	4539
634	7876	4527
635	7889	4515
636	7894	4498
637	7906	4485
638	7915	4471
639	7924	4457
640	7935	4444
641	7943	4429
642	7957	4418
643	7971	4406
644	7984	4394
645	8000	4384
646	8014	4372
647	8033	4363
648	8043	4350
649	8057	4338
650	8071	4327
651	8083	4314
652	8090	4299
653	8101	4286
654	8112	4272
655	8121	4258
656	8136	4247
657	8149	4235
658	8156	4220
659	8171	4209
660	8185	4197
661	8195	4184
662	8203	4169
663	8217	4158
664	8226	4144
665	8290	4157
666	8322	4154
667	8362	4156
668	8436	4174
669	8499	4186
670	8517	4176
671	8532	4164
672	8545	4152
673	8554	4137
674	8586	4134
675	8617	4130
676	8627	4116
677	8636	4101
678	8649	4089
679	8657	4074
680	8666	4059
681	8677	4045
682	8685	4031
683	8696	4017
684	8706	4003
685	8717	3990
686	8729	3977
687	8736	3961
688	8747	3948
689	8756	3934
690	8767	3920
691	8777	3906
692	8783	3891
693	8792	3876
694	8798	3861
695	8805	3846
696	8812	3830
697	8818	3815
698	8827	3801
699	8833	3785
700	8842	3771
701	8847	3755
702	8854	3740
703	8860	3725
704	8866	3710
705	8874	3695
706	8882	3680
707	8892	3667
708	8899	3652
709	8910	3639
710	8917	3624
711	8926	3610
712	8932	3595
713	8943	3582
714	8949	3567
715	8960	3553
716	8974	3542
717	8982	3528
