iter	Logloss
0	0.6260084115
1	0.5695402277
2	0.5179866549
3	0.4717905843
4	0.427997678
5	0.3898161976
6	0.3517323827
7	0.3187002548
8	0.2876736714
9	0.2585515494
10	0.2389079977
11	0.2189875043
12	0.2006865689
13	0.1823055307
14	0.167695602
15	0.1528695707
16	0.1410149326
17	0.1304952128
18	0.122916879
19	0.113955601
20	0.1063322817
21	0.09921350791
22	0.09257028376
23	0.08637790575
24	0.08033177844
25	0.07493675659
26	0.07003456269
27	0.06548946767
28	0.06202271607
29	0.05863947716
30	0.0555268741
31	0.05220816375
32	0.04979194818
33	0.04733522652
34	0.04513785259
35	0.04305293308
36	0.04118342501
37	0.03955769892
38	0.03809334438
39	0.03624375587
40	0.03485124841
41	0.03339956447
42	0.03217660549
43	0.03128668465
44	0.03031021972
45	0.02952653786
46	0.02861929797
47	0.02773273157
48	0.02677863483
49	0.02610596259
50	0.0253563364
51	0.02475404234
52	0.02425732013
53	0.02366669756
54	0.02300352695
55	0.02254504836
56	0.02202547471
57	0.02155244556
58	0.02119745578
59	0.02086740083
60	0.02059999896
61	0.02021488681
62	0.01999680683
63	0.01967458651
64	0.01940856421
65	0.01914825602
66	0.0188165865
67	0.0185462839
68	0.01820643818
69	0.01796217324
70	0.01766749027
71	0.01742294618
72	0.01714579853
73	0.01692972792
74	0.01672565734
75	0.01652296268
76	0.01633490733
77	0.01615598906
78	0.01592942534
79	0.0158068613
80	0.01559707169
81	0.01540674495
82	0.01526456974
83	0.01506620438
84	0.01493155187
85	0.01480237807
86	0.014641108
87	0.01449523698
88	0.01435434588
89	0.0142137917
90	0.01409406736
91	0.01403113292
92	0.01385758004
93	0.01370364537
94	0.01357802996
95	0.01347109835
96	0.01331750015
97	0.01320723036
98	0.0130873351
99	0.01297428915
100	0.01289044031
101	0.01283471192
102	0.01274277459
103	0.01265286903
104	0.01257063882
105	0.01247300866
106	0.0123750518
107	0.01223709583
108	0.01215622967
109	0.01208432128
110	0.01196806292
111	0.01189364921
112	0.01182061354
113	0.01174111997
114	0.01170100638
115	0.01159388382
116	0.01148636083
117	0.01140806005
118	0.01131808734
119	0.01125609166
120	0.01118584295
121	0.01112332036
122	0.01104946169
123	0.01099902397
124	0.01094422593
125	0.0108467409
126	0.01078493658
127	0.01075531637
128	0.01069587685
129	0.01060281141
130	0.01058348042
131	0.01051341574
132	0.01045461249
133	0.01041274544
134	0.01035683438
135	0.01029840594
136	0.01022756013
137	0.01019733529
138	0.01014159454
139	0.01009813433
140	0.01002663774
141	0.009952567658
142	0.009888378793
143	0.009846845392
144	0.009794249266
145	0.009745267162
146	0.009698557738
147	0.009643044451
148	0.009624721778
149	0.009571368522
150	0.009534668058
151	0.009479445799
152	0.009425647409
153	0.009403919871
154	0.009374419222
155	0.009326824068
156	0.009261418461
157	0.009204214404
158	0.009159778776
159	0.009136261242
160	0.009071749025
161	0.009046158998
162	0.008988560362
163	0.008950665289
164	0.008915467265
165	0.008883993389
166	0.008860982113
167	0.008852387186
168	0.008811717489
169	0.008748461998
170	0.008698007193
171	0.008640518547
172	0.008603605389
173	0.008584320742
174	0.00856793419
175	0.00850971698
176	0.008467033223
177	0.008434905694
178	0.008390251287
179	0.008372966828
180	0.00836241093
181	0.008312649189
